,제목,저자,가격,이미지소스
0,소년이 온다,한강,15000,https://image.aladin.co.kr/product/4086/97/cover200/8936434128_2.jpg
1,스토너,존 윌리엄스,16800,https://image.aladin.co.kr/product/5100/19/cover200/8925554992_2.jpg
2,그릿 Grit,김주환,18800,https://image.aladin.co.kr/product/35853/58/cover200/k202037474_1.jpg
3,봄밤의 모든 것,백수린,17000,https://image.aladin.co.kr/product/35918/62/cover200/8932043507_1.jpg
4,양심,최재천,18000,https://image.aladin.co.kr/product/35526/93/cover200/k882036973_3.jpg
5,초역 부처의 말,코이케 류노스케,17800,https://image.aladin.co.kr/product/33973/70/cover200/k682930444_1.jpg
6,듀얼 브레인,이선 몰릭,21000,https://image.aladin.co.kr/product/35873/90/cover200/k762037781_1.jpg
7,모순,양귀자,13000,https://image.aladin.co.kr/product/2584/37/cover200/8998441012_3.jpg
8,"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성,16500,https://image.aladin.co.kr/product/35398/17/cover200/k432035019_1.jpg
9,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩),ETS,19800,https://image.aladin.co.kr/product/33010/94/cover200/8917239501_1.jpg
10,황현필의 진보를 위한 역사,황현필,22000,https://image.aladin.co.kr/product/35711/76/cover200/k612036127_1.jpg
11,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝),ETS,19800,https://image.aladin.co.kr/product/33010/92/cover200/8917239498_1.jpg
12,해커스 토익 기출 VOCA (보카),David Cho,12900,https://image.aladin.co.kr/product/17602/13/cover200/s172937955_1.jpg
13,삶이라는 완벽한 농담,이경규,17800,https://image.aladin.co.kr/product/35889/97/cover200/k242037888_2.jpg
14,"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",최태성,16000,https://image.aladin.co.kr/product/35398/19/cover200/k842035019_1.jpg
