title,author,publisher,pubdate,isbn,discount,description,link,image
원서발췌 문명소사,리바이위안,지식을만드는지식,20231124,9791128827280,10800,"루쉰(魯迅)으로부터 우젠런, 류어, 쩡푸와 더불어 청대 말기 4대 견책소설(譴責小說) 작가로 추앙받은 리바이위안(李伯元)의 장편소설이다. 발췌한 부분은 아잉(阿英)이 작가의 필치가 절정에 이른 대목이라고 평한 바 있다. 문명인을 자처하며 근대화를 이끄는 관료들의 모순된 언행이 풍자적으로 묘사돼 있다.
청일전쟁에서 패하고 잇달아 경자사변을 겪으면서 중화민족의 자존심에 큰 타격을 받은 청 정부가 새로운 정치와 새로운 학문을 내세워 근대화를 추진했던 때를 배경으로 한다. 소설에 등장하는 정부 관료들은 하나같이 부패하고 무능한데, 작가는 시대의 변화를 읽어 내지 못하고 여전히 구습에 얽매여 입으로만 ‘신정’, ‘신학’을 부르짖는 이들의 모습을 사실적으로 폭로하면서 질책과 비난도 아끼지 않는다. 근대로 전환하는 시대적 격변기에 가짜 문명인들이 이끄는 ‘근대화’ 과정에서 발생하는 소동과 어이없는 일화들이 옴니버스 식으로 구성되어 있어 60회라는 긴 편폭이 지루하게 느껴지지 않는다.",https://search.shopping.naver.com/book/catalog/44182175619,https://shopping-phinf.pstatic.net/main_4418217/44182175619.20231124092449.jpg
원서발췌 문명소사(큰글자책),리바이위안,지식을만드는지식,20231124,9791128827297,21600,"루쉰(魯迅)으로부터 우젠런, 류어, 쩡푸와 더불어 청대 말기 4대 견책소설(譴責小說) 작가로 추앙받은 리바이위안(李伯元)의 장편소설이다. 발췌한 부분은 아잉(阿英)이 작가의 필치가 절정에 이른 대목이라고 평한 바 있다. 문명인을 자처하며 근대화를 이끄는 관료들의 모순된 언행이 풍자적으로 묘사돼 있다.
청일전쟁에서 패하고 잇달아 경자사변을 겪으면서 중화민족의 자존심에 큰 타격을 받은 청 정부가 새로운 정치와 새로운 학문을 내세워 근대화를 추진했던 때를 배경으로 한다. 소설에 등장하는 정부 관료들은 하나같이 부패하고 무능한데, 작가는 시대의 변화를 읽어 내지 못하고 여전히 구습에 얽매여 입으로만 ‘신정’, ‘신학’을 부르짖는 이들의 모습을 사실적으로 폭로하면서 질책과 비난도 아끼지 않는다. 근대로 전환하는 시대적 격변기에 가짜 문명인들이 이끄는 ‘근대화’ 과정에서 발생하는 소동과 어이없는 일화들이 옴니버스 식으로 구성되어 있어 60회라는 긴 편폭이 지루하게 느껴지지 않는다.",https://search.shopping.naver.com/book/catalog/44182184620,https://shopping-phinf.pstatic.net/main_4418218/44182184620.20231205090406.jpg
"떠나봐요, 생명의 모험 ver1 (인내, 사랑, 배려)",리바이포유,Rbfy(리바이포유),20231010,9791198414793,10800,"떠나봐요 생명의 모험: 엄마, 아빠의 생명의 모험

존재 자체만으로 소중한
당신과 아이를 위한 동화책!

아주 오래전에는 집집마다 아기 천사들이 내려와 웃음보따리를 주어 곳곳에 웃음소리가 끊이지 않았어요. 언젠가부터 마을에 내려오지 않는 아기천사를 만나기 위해 엄마와 아빠는 별님에게 매일같이 기도했지요. 기도를 들은 별님이 나타나 말했어요! “아기 천사를 만나려면 어마어마하고 무시무시한 모험을 해야 하는데 할 수 있겠니? 3개의 섬을 통과해야 아기천사를 만날 수 있단다.” 엄마와 아빠는 무사히 생명의 모험을 통과할 수 있을까요? 
 
《떠나봐요, 생명의 모험》 존재 자체만으로 소중한 당신과 아이를 위한 동화책!
사랑하는 아이에게 스스로가 얼마나 소중한 존재인지 알려주고 싶어 아기 천사를 만나기 위한 과정을 울렁울렁섬, 잠꾸러기섬, 마지막 열려라문의섬까지 3개의 섬으로 표현했습니다. 지금 옆에 있는 아기 천사와 함께 모험을 떠나보세요.
 
결코 쉽지 않은 모험을 통해 위대한 생명의 탄생을 경험하며 ‘너는 존재 자체로 귀한 사람이야‘ ‘나는 소중한 사람이지‘ 느끼는 소중한 시간을 선물합니다.
당신과 당신의 아이들이 이 책을 통해 생명의 소중함에 대해 이야기하게 되길 바랍니다.
 
다양한 환경의 아이들이 공감할 수 있도록 두 가지 버전이 준비되어 있습니다.
𝐯𝐞𝐫𝟏. 엄마 아빠의 생명의 모험
𝐯𝐞𝐫𝟐. 엄마의 생명의 모험
 
You are life.
당신은 생명입니다.",https://search.shopping.naver.com/book/catalog/45292418618,https://shopping-phinf.pstatic.net/main_4529241/45292418618.20240117095359.jpg
"떠나봐요, 생명의 모험 ver2 (인내, 사랑, 배려)",리바이포유,Rbfy(리바이포유),20231010,9791198414731,10800,"떠나봐요 생명의 모험: 엄마의 생명의 모험

존재 자체만으로 소중한
당신과 아이를 위한 동화책!

아주 오래전에는 집집마다 아기 천사들이 내려와 웃음보따리를 주어 곳곳에 웃음소리가 끊이지 않았어요. 언젠가부터 마을에 내려오지 않는 아기천사를 만나기 위해 엄마는 별님에게 매일같이 기도했지요. 기도를 들은 별님이 나타나 말했어요! “아기 천사를 만나려면 어마어마하고 무시무시한 모험을 해야 하는데 할 수 있겠니? 3개의 섬을 통과해야 아기천사를 만날 수 있단다.” 엄마는 무사히 생명의 모험을 통과할 수 있을까요? 
 
《떠나봐요, 생명의 모험》 존재 자체만으로 소중한 당신과 아이를 위한 동화책!
사랑하는 아이에게 스스로가 얼마나 소중한 존재인지 알려주고 싶어 아기 천사를 만나기 위한 과정을 울렁울렁섬, 잠꾸러기섬, 마지막 열려라문의섬까지 3개의 섬으로 표현했습니다. 지금 옆에 있는 아기 천사와 함께 모험을 떠나보세요.
 
결코 쉽지 않은 모험을 통해 위대한 생명의 탄생을 경험하며 ‘너는 존재 자체로 귀한 사람이야‘ ‘나는 소중한 사람이지‘ 느끼는 소중한 시간을 선물합니다.
당신과 당신의 아이들이 이 책을 통해 생명의 소중함에 대해 이야기하게 되길 바랍니다.
 
다양한 환경의 아이들이 공감할 수 있도록 두 가지 버전이 준비되어 있습니다.
𝐯𝐞𝐫𝟏. 엄마 아빠의 생명의 모험
𝐯𝐞𝐫𝟐. 엄마의 생명의 모험
 
You are life.
당신은 생명입니다.",https://search.shopping.naver.com/book/catalog/45290858618,https://shopping-phinf.pstatic.net/main_4529085/45290858618.20240117095435.jpg
"[천줄읽기, 큰글씨책] 문명소사",리바이위안,지식을만드는지식(지만지),20140615,9791130416946,0,"'큰글씨책 지식을만드는지식 세계문학선집'. 루쉰으로부터 우젠런, 류어, 쩡푸와 더불어 청대 말기 4대 견책소설(譴責小說) 작가로 추앙 받은 리바이위안의 장편 소설. 청나라 말, 근대로 전환하는 시대적 격변기에 나타나는 소동과 황당환 일화들을 옴니버스 식 구성으로 엮어낸다. 저자는 잇속을 따지느라 무고한 백성이 곤란에 빠진 것도 모른 척하고 자신의 욕심 채우기에 급급한 당시의 부패하고 무능한 관리들을 풍자적으로 묘사해 보여준다.



또, 이 책에서 작가는 관리들뿐만 아니라 시대의 변화에 둔한 백성들의 어리석음도 우회적으로 비난한다. 그는 무조건 서양인을 배척하는 태도, 문제를 이성적으로 해결하지 못하고 흥분해 일을 크게 벌이는 모습들을 사실적으로 그려낸다. 이는 과거의 기억과 구습에 얽매여 앞으로 나아가지 못하는 모든 '가짜 문명인들'을 향해 저자가 던지는 날카로운 비판의 목소리다.",https://search.shopping.naver.com/book/catalog/32489552068,https://shopping-phinf.pstatic.net/main_3248955/32489552068.20220520185437.jpg
문명소사 - 발췌,리바이위안,지식을만드는지식,20110213,9788964066928,0,"루쉰으로부터 우젠런, 류어, 쩡푸와 더불어 청대 말기 4대 견책소설(譴責小說) 작가로 추앙 받은 리바이위안의 장편 소설. 청나라 말, 근대로 전환하는 시대적 격변기에 나타나는 소동과 황당환 일화들을 옴니버스 식 구성으로 엮어낸다. 저자는 잇속을 따지느라 무고한 백성이 곤란에 빠진 것도 모른 척하고 자신의 욕심 채우기에 급급한 당시의 부패하고 무능한 관리들을 풍자적으로 묘사해 보여준다.

또, 이 책에서 작가는 관리들뿐만 아니라 시대의 변화에 둔한 백성들의 어리석음도 우회적으로 비난한다.",https://search.shopping.naver.com/book/catalog/32490726311,https://shopping-phinf.pstatic.net/main_3249072/32490726311.20221227205519.jpg
예수 그리스도의 보병궁 복음서 (하나님의 기억의 책(아카식 레코드)으로부터의 기록),리바이 다울링,상생출판,20220321,9791191329339,22500,"성경에 기록되지 않은 예수 그리스도의 18년 생애와 
동방으로의 구도 여정에 대한 
천상 아카샤의 기록인 보병궁 복음서! 
국내 최초 영한대역 완역본 출간!

아카샤의 기록 
만물의 일차적 실체이자 영인 아카샤Akasha는 절묘하고 가늘고 예민해서 이 우주의 어느 궁벽한 곳에서 울리는 에테르의 아주 미세한 진동이라도 할지라도 그 위에 지워지지 않는 인상을 남긴다. 이것은 존재하는 모든 곳에 있는 ‘우주의 마음’이다. 동양의 학자들은 그것을 ‘아카샤의 기록’이라고 했고 히브리의 스승들은 ‘하나님의 기억의 책’이라고 했다. 인간의 마음이 우주의 마음과 정확히 일치할 때, 인간은 이러한 아카식 인상을 의식적으로 인식할 수 있고, 어떤 언어로도 번역할 수 있다. 

보병궁 복음서에는 예수와 그의 가르침의 요람이 되는 인류 원형 문화의 맥락을 찾아볼 수 있는 소중한 구절들이 많다. 한 가지 예로 아버지 하나님과 어머니 하나님이 함께 계신다는 구절을 들 수 있다. 이러한 가르침은 동방 신교神敎 문화의 천지부모 사상이 전수된 것으로써, 예수가 동방으로의 유학 여정을 통하여 전해 들은 여러 원형 문화적 가르침들 가운데 하나였을 것이다. 그중에서도 예수가 하나님을 ‘일(1)수이시며 삼(3)수이시며 칠(7)수이신 하나님’(9:14)으로 인식하였고, ‘성령의 수는 일곱이며 하나님은 그의 손에 시간의 일곱을 쥐고 계신’(96:23) 것으로 이해했다는 대목은 매우 특별하다. 예수 가르침의 핵심이 9,000년 동방 신교神敎 문화의 원형 정신인 천부경 문화에 깊이 영향 받아 태동되었음을 짐작케 하기 때문이다. 〈역자 서문 중에서〉",https://search.shopping.naver.com/book/catalog/32486501681,https://shopping-phinf.pstatic.net/main_3248650/32486501681.20221019135837.jpg
이야기 경제학교실,모리스 리바이,한울,19940901,9788946023703,7650,경제학에 대하여 이해하기 쉽게 설명한 책이다. 이야기로 풀어내어 이해를 도왔다.,https://search.shopping.naver.com/book/catalog/32496604745,https://shopping-phinf.pstatic.net/main_3249660/32496604745.20231115071931.jpg
무지개 원리(리바이벌판) (하는 일마다 잘 되리라),차동엽,위즈앤비즈,20180725,9788992825931,13500,"‘무지개 원리’는 꿈을 성취한 사람들의 성공 요인에서 일곱 가지 공통 원리를 찾아내어 정립한 ‘만사형통의 7법칙’이다. ‘비바람이 지나면 무지개가 뜨는 자연의 이치’처럼 어떠한 절망 속에서도 꿈과 희망을 버리지 않고 그대로 따라 하면 반드시 행복과 성공을 이룰 수 있는 원리다. “절망은 속단이다. 어떤 철옹성 같은 이유로도 절망은 끝내 속단이다. 그 무엇도 내 허락 없이는 나를 불행하게 할 수 없다”고 말하는 이 책은 무한경쟁 시대에 사는 힘들고 지친 이 세대 사람들에게 끊임없이 희망을 불어넣어 주고 있다.

저자는, 온갖 시련을 견뎌내고 세계가 놀랄 저력을 드러낸 민족의 대명사인 유대인들의 자녀 교육을 연구하던 중 ‘셰마 이스라엘’이라는 교훈 속에 들어 있는 ‘마음을 다하여’, ‘목숨을 다하여’, ‘힘을 다하여’, 그리고 ‘거듭거듭’이라는 가르침이 종합적으로 완벽한 ‘전인적 자기계발 원리’라는 것을 깨달았다. 이 전인적 자기계발 원리는 인간의 두뇌와 심리 구조에 잘 맞아떨어질 뿐 아니라 인간의 지성, 감성, 의지와 모두 관련된다는 사실도 알아냈다. 이러한 배경 위에서 탄생한 무지개 원리는 그 후 30여 년간 탐사 과정을 거쳐서 완성되었다.",https://search.shopping.naver.com/book/catalog/32473330228,https://shopping-phinf.pstatic.net/main_3247333/32473330228.20230829085716.jpg
PASQUALI SONATA 파스쿠알리 바이올린 소나타 (가단조),Niccolo Pasquali,한국음악사,20120310,9788972267331,9000,PASQUALI SONATA 파스쿠알리 바이올린 소나타 악보이다.,https://search.shopping.naver.com/book/catalog/32436123756,https://shopping-phinf.pstatic.net/main_3243612/32436123756.20221230072622.jpg
